追风筝的人,https://book.douban.com/subject/1770782/,8.9,414420人评价,为你，千千万万遍
解忧杂货店,https://book.douban.com/subject/25862578/,8.5,399201人评价,一碗精心熬制的东野牌鸡汤，拒绝很难
小王子,https://book.douban.com/subject/1084336/,9.0,337359人评价,献给长成了大人的孩子们
白夜行,https://book.douban.com/subject/3259440/,9.1,294689人评价,暗夜独行的残破灵魂，爱与恶本就难分难舍
围城,https://book.douban.com/subject/1008145/,8.9,250747人评价,对于“人艰不拆”四个字最彻底的违抗
三体,https://book.douban.com/subject/2567698/,8.8,244228人评价,你我不过都是虫子
嫌疑人X的献身,https://book.douban.com/subject/3211779/,8.9,239925人评价,数学好是一种极致的浪漫
挪威的森林,https://book.douban.com/subject/1046265/,8.0,236633人评价,村上之发轫，多少人的青春启蒙
活着,https://book.douban.com/subject/4913064/,9.3,192123人评价,生的苦难与伟大
百年孤独,https://book.douban.com/subject/6082808/,9.2,181439人评价,尼采所谓的永劫复归，一场无始无终的梦魇
红楼梦,https://book.douban.com/subject/1007305/,9.6,172801人评价,谁解其中味？
看见,https://book.douban.com/subject/20427187/,8.8,176440人评价,在这里看见中国
不能承受的生命之轻,https://book.douban.com/subject/1017143/,8.5,162055人评价,朝向媚俗的一次伟大的进军
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,9.0,149266人评价,中国当代城乡生活全景
三体Ⅱ,https://book.douban.com/subject/3066477/,9.3,143688人评价,无边的黑暗森林，比第一部更为恢弘壮丽
三体Ⅲ,https://book.douban.com/subject/5363767/,9.2,142157人评价,终章，何去何从
达·芬奇密码,https://book.douban.com/subject/1040771/,8.2,158508人评价,一切畅销的因素都有了
我们仨,https://book.douban.com/subject/1023045/,8.7,133265人评价,平淡，坚忍，温情
简爱（英文全本）,https://book.douban.com/subject/1141406/,8.5,134038人评价,灰姑娘在十九世纪
天才在左 疯子在右,https://book.douban.com/subject/4242172/,8.1,141650人评价,简称“疯癫与文明”
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,9.0,117826人评价,羽加迪姆勒维奥萨！
傲慢与偏见,https://book.douban.com/subject/1083428/,8.8,118198人评价,所有现代言情小说的母体
明朝那些事儿（壹）,https://book.douban.com/subject/1873231/,8.7,118190人评价,历史本就是一件件“事儿”拼成的
目送,https://book.douban.com/subject/3995526/,8.7,118538人评价,不必追
恶意,https://book.douban.com/subject/3646172/,8.4,113492人评价,无缘由的恨，冰冷彻骨
飘,https://book.douban.com/subject/1068920/,9.3,103393人评价,革命时期的爱情，随风而逝
霍乱时期的爱情,https://book.douban.com/subject/10594787/,9.0,105029人评价,义无反顾地直达爱情的核心
倾城之恋,https://book.douban.com/subject/1090043/,8.5,111029人评价,一段姻缘，需要一座城的倾覆来成全
撒哈拉的故事,https://book.douban.com/subject/1361264/,9.0,103077人评价,关于漂泊的一切
边城,https://book.douban.com/subject/1057244/,8.6,105947人评价,如水一般的忧愁与怅惘
许三观卖血记,https://book.douban.com/subject/1029791/,8.7,103059人评价,余华的悲凉，都在那一碗炒猪肝里了
送你一颗子弹,https://book.douban.com/subject/4238362/,8.6,105287人评价,犀利又温柔，穿过胸口隐隐作痛
哈利·波特与阿兹卡班的囚徒,https://book.douban.com/subject/1071241/,8.9,95281人评价,小天狼星布莱克
狼图腾,https://book.douban.com/subject/1022060/,8.2,104131人评价,我们都是 狼的传人？
情人,https://book.douban.com/subject/1400705/,8.1,106006人评价,我已经老了，你呢？
哈利·波特与火焰杯,https://book.douban.com/subject/1009257/,9.0,91696人评价,整个系列的分水岭，暗色渐浓
哈利·波特与密室,https://book.douban.com/subject/1039487/,8.9,91897人评价,渐入佳境，魔法世界全貌初现
穆斯林的葬礼,https://book.douban.com/subject/1082334/,8.2,99405人评价,时代烙印鲜明的民族史诗
万历十五年,https://book.douban.com/subject/1041482/,8.9,90684人评价,见微知著，历史观的颠覆
盗墓笔记,https://book.douban.com/subject/1948901/,8.3,96003人评价,想象奇诡的大型RPG游戏
窗边的小豆豆,https://book.douban.com/subject/1007914/,8.7,88270人评价,真正懂孩子的教育经
1Q84 BOOK 1,https://book.douban.com/subject/4742918/,8.3,92660人评价,村上的野望，欢迎来到1Q84年
人间失格,https://book.douban.com/subject/4011670/,8.3,90907人评价,令人无从怜悯的绝望
黄金时代,https://book.douban.com/subject/1089243/,8.8,82412人评价,能把性爱写得如此坦荡的，大概只有王二了
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,8.8,80434人评价,感情线纷乱的一部。再见邓布利多
老人与海,https://book.douban.com/subject/1064275/,8.3,85590人评价,正是悲壮赋予生活以意义
1984,https://book.douban.com/subject/4820710/,9.3,75415人评价,栗树荫下，我出卖你，你出卖我
向左走·向右走,https://book.douban.com/subject/1066462/,8.4,83523人评价,两条平行线相遇的可能
三国演义（全二册）,https://book.douban.com/subject/1019568/,9.2,74431人评价,是非成败转头空
人类简史,https://book.douban.com/subject/25985021/,9.1,75068人评价,跟着人类一同走过十万年
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,8.7,76842人评价,暴脾气的哈利
苏菲的世界,https://book.douban.com/subject/1045818/,8.5,79582人评价,最平易近人的哲学入门
悟空传,https://book.douban.com/subject/1003000/,8.4,81845人评价,猴子还是那个猴子，世界早已不是原来的世界
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,8.6,78911人评价,你自己就是最大的宝藏
莲花,https://book.douban.com/subject/1529893/,8.0,83562人评价,三个生命的交逢，灵魅清冷
天龙八部,https://book.douban.com/subject/1255625/,9.1,72024人评价,“有情皆孽，无人不冤”
哈利·波特与死亡圣器,https://book.douban.com/subject/2295163/,9.0,71615人评价
呼啸山庄,https://book.douban.com/subject/1119522/,8.4,74064人评价,近乎暴虐的爱与恨，中文译名后无来者
亲爱的安德烈,https://book.douban.com/subject/3369793/,8.7,71834人评价,龙应台母子对话，两代人的思想碰撞
无声告白,https://book.douban.com/subject/26382433/,8.2,75409人评价,莉迪亚死了，可他们还不知道
基督山伯爵,https://book.douban.com/subject/1085860/,9.0,67422人评价,完美的复仇，金庸用法语写作应该就是这样
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,8.0,75501人评价,最早的荒野求生
灿烂千阳,https://book.douban.com/subject/2143732/,8.8,67935人评价,唯有希望与爱可以驱散阴霾
海边的卡夫卡,https://book.douban.com/subject/1059419/,8.1,73195人评价,背负诅咒的少年，平行世界中的奥德赛
白鹿原,https://book.douban.com/subject/1085799/,8.7,66499人评价,中国乡村史诗
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,9.0,63768人评价,武侠的壳，政治斗争的核
兄弟（上）,https://book.douban.com/subject/1401425/,8.3,68938人评价,历史苦难中的个人灾变
茶花女,https://book.douban.com/subject/1013380/,8.2,70435人评价,妓女应当拥有爱情吗？
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,9.2,62452人评价,以血书写的文学
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,9.2,61101人评价,侦探小说鼻祖
一个陌生女人的来信,https://book.douban.com/subject/2154960/,8.7,65730人评价,暗恋的极致
少有人走的路,https://book.douban.com/subject/1775691/,8.4,66565人评价,成熟的心智通向更完善的自我
沉默的大多数,https://book.douban.com/subject/1054685/,9.1,61363人评价,沉默是沉默者的通行证
局外人,https://book.douban.com/subject/4908885/,9.0,60678人评价,人生在世，永远也不该演戏作假
骆驼祥子,https://book.douban.com/subject/1043815/,8.3,65086人评价,如骆驼喘息般深刻的绝望
情书,https://book.douban.com/subject/1080370/,8.6,61244人评价,一场误会中的两段爱情，东方式的含蓄隐忍
民主的细节,https://book.douban.com/subject/3813669/,8.6,60743人评价,公民养成手册
东方快车谋杀案,https://book.douban.com/subject/1827374/,9.0,57309人评价,谋杀诡计惊人，波洛的抉择耐人寻味
神雕侠侣,https://book.douban.com/subject/1255624/,8.8,57572人评价,至情至性，情大于武
了不起的盖茨比,https://book.douban.com/subject/1008988/,8.3,61054人评价,梦，就像黛西家的那一缕绿光
遇见未知的自己,https://book.douban.com/subject/2340100/,8.0,62608人评价,都市灵修速成
无人生还,https://book.douban.com/subject/3006581/,8.9,55825人评价,童谣杀人案
肖申克的救赎,https://book.douban.com/subject/1829226/,9.1,53306人评价,希望让人自由，电影实在太有名
巴黎圣母院,https://book.douban.com/subject/1024197/,8.3,58571人评价,潜藏于残缺下的美与崇高
羊脂球,https://book.douban.com/subject/1205370/,8.1,59303人评价,资产阶级的道貌岸然
呐喊,https://book.douban.com/subject/1449351/,8.9,53118人评价,新文学的第一声呐喊
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,8.1,58137人评价,村上同志告诉我们，身体是革命的本钱
乌合之众,https://book.douban.com/subject/1012611/,8.2,57515人评价,群氓心理剖析
动物农场,https://book.douban.com/subject/2035179/,9.2,50384人评价,太阳底下并无新事
爱你就像爱生命,https://book.douban.com/subject/3071717/,8.8,52530人评价,王小波与李银河的两地书
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,8.4,54181人评价,蚊子血还是饭黏子？
安徒生童话故事集,https://book.douban.com/subject/1046209/,9.2,48393人评价,远不是童话那么简单
巨人的陨落,https://book.douban.com/subject/26698660/,8.9,48826人评价,五个家族，一场战争
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,8.1,52214人评价,盗墓祖师名不虚传
这些都是你给我的爱,https://book.douban.com/subject/4714734/,8.4,51001人评价,只言片语的温暖
这些人，那些事,https://book.douban.com/subject/6388661/,8.8,48320人评价,平淡叙述下的惊心动魄
华胥引（全二册）,https://book.douban.com/subject/5916880/,8.4,50340人评价,现实不如梦中的圆满
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,8.3,50475人评价,真正的片段式写作
喜宝,https://book.douban.com/subject/2022979/,8.0,52348人评价,爱情才是终极的奢侈品
半生缘,https://book.douban.com/subject/1963684/,8.6,47997人评价,世钧，我们回不去了
城南旧事,https://book.douban.com/subject/1254588/,9.0,44274人评价,长亭外，古道边，芳草碧连天
阿Q正传,https://book.douban.com/subject/1088065/,8.7,45036人评价,哀其不幸，怒其不争
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,8.9,42988人评价,侠之大者，为国为民
月亮与六便士,https://book.douban.com/subject/26954760/,8.8,44621人评价
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,8.0,45212人评价,一想到能和你共度余生，我就对余生充满期待
一个人的朝圣,https://book.douban.com/subject/24934182/,8.1,46768人评价,关于爱和信念的旅行
梦里花落知多少,https://book.douban.com/subject/2070844/,8.8,42852人评价,哀而不伤
一只特立独行的猪,https://book.douban.com/subject/1767945/,8.8,42431人评价,生活就是个缓慢受锤的过程，至少还可以特立独行
如何阅读一本书,https://book.douban.com/subject/1013208/,8.4,44561人评价,读书的方法论
地下铁,https://book.douban.com/subject/1056733/,8.3,43943人评价,黑暗世界中的点滴亮光
格林童话全集,https://book.douban.com/subject/1043008/,9.0,39341人评价,许多隐晦
孩子你慢慢来,https://book.douban.com/subject/4207781/,8.8,39924人评价,我们现在怎样做母亲
朝花夕拾,https://book.douban.com/subject/1449352/,8.7,39103人评价,鲁迅的旧事重提
孤独六讲,https://book.douban.com/subject/4124727/,8.1,42563人评价,作为一种美学的孤独
月亮忘記了,https://book.douban.com/subject/1358873/,8.6,39674人评价,月明星稀的晚上，看不见的，看见了
刀锋,https://book.douban.com/subject/2035162/,9.0,37481人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
此间的少年,https://book.douban.com/subject/1020459/,8.4,40415人评价,象牙塔里的金庸群侠
麦琪的礼物,https://book.douban.com/subject/1051193/,8.6,38964人评价,日常的奇迹
步步惊心,https://book.douban.com/subject/1812439/,8.1,41718人评价,现世太苦，不如穿越回去从头来过
尘埃落定,https://book.douban.com/subject/1080309/,8.4,37988人评价,一个傻子的土司家族传奇
杀死一只知更鸟,https://book.douban.com/subject/6781808/,9.2,34710人评价,有一种东西不能遵循从众原则，那就是——人的良心
